"","species","area.km2","status"
"483","Dicranopteris linearis",25448739.8034064,"NT"
"484","Hedychium gardnerianum",6472110.89106765,"NT"
"485","Platanthera blephariglottis",1714774.71787445,"NT"
"486","Platanthera clavellata",5103617.99344084,"NT"
"487","Kolkwitzia amabilis",10128582.8351317,"NT"
"488","Calochortus leichtlinii",150181.60803409,"NT"
"489","Acer saccharum",3867212.76952892,"NT"
"490","Acer grandidentatum",1822098.69565447,"NT"
"491","Althaea officinalis",25664506.1326994,"NT"
"492","Silybum marianum",20276558.8852988,"NT"
"493","Centaurea solstitialis",8101357.63407475,"NT"
"494","Pontederia cordata",33631829.6215325,"NT"
"495","Zostera marina",7064076.59811828,"NT"
"496","Abronia latifolia",204984.565609192,"NT"
"497","Cirsium occidentale",538580.664482345,"NT"
"498","Stachys chamissonis",586043.508348191,"NT"
"499","Scirpus hattorianus",2821470.20955952,"NT"
"500","Juncus squarrosus",2865883.33736977,"NT"
"501","Sarracenia rubra",393638.837772045,"NT"
"502","Sarracenia purpurea",5898822.7575044,"NT"
"503","Darlingtonia californica",168926.304513815,"NT"
"504","Drosera aliciae",89099.5226174918,"NT"
"505","Drosera anglica",14494811.9289975,"NT"
"506","Drosera capensis",287416.9534561,"NT"
"507","Drosera filiformis",42181.8842088366,"NT"
"508","Drosera rotundifolia",30909179.8949132,"NT"
"509","Platanthera tescamnis",1079498.09939041,"NT"
"510","Dionaea muscipula",2140701.73293012,"NT"
"511","Adiantum aleuticum",1862721.74712206,"NT"
"512","Athyrium filix-femina",1769794.11681855,"NT"
"513","Dryopteris arguta",387115.64285587,"NT"
"514","Equisetum hyemale",47612651.3946127,"NT"
"515","Pentagramma triangularis",688467.771918225,"NT"
"516","Polypodium calirhiza",281403.061511963,"NT"
"517","Pteridium aquilinum",25957296.5910976,"NT"
"518","Woodwardia fimbriata",617282.106212441,"NT"
"519","Ribes menziesii",172905.862386126,"NT"
"520","Agrostis pallens",665007.386592774,"NT"
"521","Aira caryophyllea",10084493.5567052,"NT"
"522","Avena barbata",6892627.97205713,"NT"
"523","Avena fatua",73173455.4389005,"NT"
"524","Bromus carinatus",5637023.29725712,"NT"
"525","Bromus diandrus",10944448.4958465,"NT"
"526","Bromus hordeaceus",19452087.2850958,"NT"
"527","Bromus laevipes",265511.962747306,"NT"
"528","Bromus madritensis",6644986.49262946,"NT"
"529","Calamagrostis rubescens",732523.880250237,"NT"
"530","Cortaderia jubata",6213579.55410609,"NT"
"531","Dactylis glomerata",42128234.5993222,"NT"
"532","Deschampsia elongata",2570696.74408513,"NT"
